case_id,eia_id,p_state,p_county,ylat,xlong,p_name,p_year,p_tech_pri,p_cap_ac,p_cap_dc,p_type,utility_name
59068,59068,TX,Carson,35.254184,-101.186622,"Colbeck's Corner, LLC",2016,WIND,200.0,,wind farm,"Big Sky Wind, LLC"
59070,59070,NH,Coos,44.466944,-71.225,Jericho Power,2016,WIND,14.3,,wind farm,Jericho Power LLC
59071,59071,IA,Carroll,41.94143,-94.8861,Carroll Area Wind Farm,2015,WIND,20.7,,wind farm,SRIV Partnership LLC
59076,59076,OR,Umatilla,45.88,-118.463333,Chopin Wind LLC,2016,WIND,10.0,,wind farm,"Chopin Wind, LLC"
59083,59083,CO,Lincoln,39.353333,-103.474167,Limon III Wind LLC,2014,WIND,200.6,,wind farm,Limon
59084,59084,KS,Marshall,39.701111,-96.360833,Marshall Wind Farm,2016,WIND,73.8,,wind farm,"BHE Renewables, LLC"
59118,59118,TX,Cameron,26.195278,-97.466111,Cameron Wind 1 LLC,2015,WIND,165.0,,wind farm,Cameron Wind 1 LLC
59147,59147,MD,Garrett,39.404564,-79.291143,Fair Wind,2015,WIND,30.0,,wind farm,"Fair Wind Power Partners, LLC"
59187,59187,SD,Bon Homme,43.16,-98.08,Beethoven Wind,2015,WIND,80.0,,wind farm,NorthWestern Energy - (SD)
59193,59193,TX,Nueces,27.5925,-97.500833,Chapman Ranch Wind I,2017,WIND,236.0,,wind farm,Chapman Ranch Wind LLC
59200,59200,ND,Rolette,48.964722,-99.613889,Border Winds Wind Farm,2015,WIND,150.0,,wind farm,Northern States Power Co - Minnesota
59201,59201,MN,Mower,43.805,-92.769722,Pleasant Valley Wind Farm,2015,WIND,200.0,,wind farm,Northern States Power Co - Minnesota
59222,59222,ME,Penobscot,45.07,-68.21,Passadumkeag Windpark LLC,2016,WIND,42.9,,wind farm,Southern Power Co
59223,59223,IA,Story,42.014,-93.518056,Optimum Wind 5 LLC,2017,WIND,3.0,,wind farm,Optimum Wind 5 LLC
