case_id,eia_id,p_state,p_county,ylat,xlong,p_name,p_year,p_tech_pri,p_cap_ac,p_cap_dc,p_type,utility_name
60688,60688,KS,Clark,37.355,-99.991,"Cimarron Bend Wind Project II, LLC",2017,WIND,200.0,,wind farm,"Cimarron Bend Wind Project II, LLC"
60689,60689,KS,Ford,37.854801,-99.67981,Western Plains Wind Farm,2017,WIND,280.6,,wind farm,"Evergy Kansas Central, Inc"
60700,60700,CT,Litchfield,41.961067,-73.140779,Wind Colebrook South,2015,WIND,5.0,,wind farm,Wind Colebrook South
60743,60743,TX,McCulloch,31.360331,-99.551356,"Rattlesnake Power, LLC",2018,WIND,160.0,,wind farm,"Rattlesnake Power, LLC"
60856,60856,TX,Randall,34.769544,-102.052422,Astra Wind Farm,2017,WIND,163.0,,wind farm,Astra Wind LLC
60865,60865,MA,Essex,42.625649,-70.656489,Equity Industrial Turbines,2012,WIND,4.0,,wind farm,Equity Industrial Turbines
60873,60873,IA,Mahaska,41.4369,-92.703817,Prairie Wind Farm,2018,WIND,168.0,,wind farm,MidAmerican Energy Co
60883,60883,MI,Huron,43.941851,-82.898675,"Deerfield Wind Energy, LLC",2017,WIND,149.0,,wind farm,"Deerfield Wind Energy, LLC"
60901,60901,TX,Haskell,33.345366,-99.624257,Willow Springs Wind Farm,2017,WIND,250.0,,wind farm,"Willow Springs Windfarm, LLC"
60902,60902,TX,Scurry,32.863769,-100.975128,Dermott Wind,2017,WIND,253.0,,wind farm,"Dermott Wind, LLC"
60905,60905,ND,Morton,46.9571,-101.1681,"Oliver Wind III, LLC",2017,WIND,99.3,,wind farm,"Oliver Wind III, LLC"
60911,60911,IA,Cass,41.373,-94.754,Green Energy Machine,2016,WIND,1.7,,wind farm,"Green Energy Machine, LLC"
60931,60931,NE,Adams,40.57,-98.334,CCC Hastings Wind Turbine,2016,WIND,1.7,,wind farm,"CCC Hastings Renewable Energy, LLC"
60932,60932,NE,Platte,41.678,-97.386,Creston Ridge Wind Farm,2015,WIND,6.8,,wind farm,"Creston Ridge, LLC"
60983,60983,TX,Erath,32.371306,-98.377389,Buckthorn Wind,2017,WIND,100.5,,wind farm,"Buckthorn Wind Project, LLC"
60987,60987,TX,Reagan,31.181377,-101.318787,Santa Rita Wind Energy,2018,WIND,300.0,,wind farm,"BHE Renewables, LLC"
60991,60991,NM,Lea,33.3596,-103.25058,Sterling I Wind Farm,2017,WIND,29.9,,wind farm,AEM Wind LLC
60999,60999,KS,Lyon,38.475,-95.9655,Reading Wind Project,2020,WIND,200.1,,wind farm,Southern Power Co
61001,61001,TX,Concho,31.112474,-100.028142,Cactus Flats Wind Energy Project,2018,WIND,148.4,,wind farm,Southern Power Co
61002,61002,RI,Newport,41.612027,-71.249262,"WED Portsmouth One, LLC",2016,WIND,1.5,,wind farm,Greenbacker Renewable Energy Corporation
61004,61004,OH,Putnam,41.002764,-84.033742,Whirlpool Corporation - Ottawa Wind Farm,2018,WIND,1.5,,wind farm,OEE XXIV LLC
61005,61005,OH,Marion,40.591154,-83.178491,Whirlpool Corporation - Marion Wind Farm,2017,WIND,4.5,,wind farm,OEE XXIII LLC
61032,61032,TX,McCulloch,31.242177,-99.421266,Heart of Texas Wind Project,2020,WIND,180.0,,wind farm,Scout Clean Energy LLC
61039,61039,VT,Bennington,42.877215,-72.993721,Deerfield Wind LLC,2017,WIND,30.0,,wind farm,Avangrid Power LLC
61040,61040,CO,Prowers,37.773,-102.546,Twin Buttes II Wind,2017,WIND,75.0,,wind farm,Avangrid Power LLC
61041,61041,NY,Lewis,43.709597,-75.616219,"Roaring Brook, LLC",2021,WIND,79.7,,wind farm,Avangrid Power LLC
61044,61044,NM,Torrance,34.81,-105.74,La Joya NM,2021,WIND,306.2,,wind farm,Avangrid Power LLC
61046,61046,SD,Deuel,44.592,-96.576,Tatanka Ridge,2021,WIND,154.0,,wind farm,Tatanka Ridge LLC
61047,61047,SD,Brookings,44.45,-96.55,Coyote Ridge,2019,WIND,97.4,,wind farm,Coyote Ridge LLC
61056,61056,NE,Seward,40.895,-97.1951,Seward Wind Farm,2017,WIND,1.7,,wind farm,Seward Wind LLC
61066,61066,CA,Los Angeles,34.691,-118.221,Foundation CDCR LAC,2017,WIND,1.9,,wind farm,"Foundation CA Fund VIII Manager, LLC"
61067,61067,CA,Monterey,36.274508,-121.191589,Foundation Scheid Vineyards,2017,WIND,1.9,,wind farm,"Foundation CA Fund VIII Manager, LLC"
61070,61070,IA,Howard,43.448855,-92.280725,Saratoga Wind Farm,2019,WIND,66.0,,wind farm,Madison Gas & Electric Co
61077,61077,IA,Adair,41.202447,-94.417197,Orient Wind Farm,2018,WIND,500.8,,wind farm,MidAmerican Energy Co
61079,61079,IA,Boone,42.106964,-94.164636,Beaver Creek Wind,2017,WIND,340.0,,wind farm,MidAmerican Energy Co
61100,61100,ND,Burke,48.754492,-102.637766,"Burke Wind, LLC",2020,WIND,199.4,,wind farm,Burke Wind LLC
61106,61106,MI,Isabella,43.524324,-84.696781,Pine River Wind Park,2019,WIND,161.3,,wind farm,DTE Electric Company
61155,61155,MT,Sweet Grass,45.855428,-109.649167,Big Timber Wind Farm,2018,WIND,25.0,,wind farm,Consolidated Edison Development Inc.
61161,61161,IL,Douglas,39.83188,-88.072302,Harvest Ridge Wind Farm,2020,WIND,202.0,,wind farm,Harvest Ridge Wind Farm
61212,61212,TX,Mills,31.684511,-98.603358,Flat Top Wind I,2018,WIND,200.0,,wind farm,"BHE Renewables, LLC"
61221,61221,OK,Grady,35.290759,-97.854,Redbed Plains Wind Farm,2017,WIND,99.1,,wind farm,Redbed Plains Wind Farm LLC
61222,61222,CA,Alameda,37.769189,-121.630163,Golden Hills North Wind Energy Center,2017,WIND,46.0,,wind farm,"Golden Hills Interconnection Wind, LLC"
61261,61261,OK,Kay,36.927165,-97.4271,Rock Falls Wind Farm LLC,2017,WIND,154.5,,wind farm,Public Service Co of Oklahoma
61269,61269,OK,Noble,36.522,-97.145,Thunder Ranch Wind Project,2017,WIND,297.8,,wind farm,"Thunder Ranch Wind Project, LLC"
61270,61270,OK,Kingfisher,36.051,-97.784,Red Dirt Wind Project,2017,WIND,299.3,,wind farm,"Red Dirt Wind Project, LLC"
61303,61303,IN,Jay,40.319,-84.9769,Bluff Point Wind Facility,2017,WIND,119.7,,wind farm,"Bluff Point Wind, LLC"
61330,61330,OH,Hardin,40.793073,-83.728714,Hog Creek Wind Project,2017,WIND,66.0,,wind farm,Hog Creek Wind Project LLC
61343,61343,TX,San Patricio,28.170179,-97.817507,Karankawa Wind LLC,2019,WIND,307.1,,wind farm,Avangrid Power LLC
61344,61344,IL,LaSalle,41.055385,-88.993862,Otter Creek Wind Farm LLC,2020,WIND,150.0,,wind farm,Avangrid Power LLC
61356,61356,OH,Hancock,41.084329,-83.644131,Valfilm Wind Project,2018,WIND,3.0,,wind farm,OEE XXV LLC
61357,61357,MN,Lincoln,44.478,-96.1538,Red Pine Wind Project,2017,WIND,200.0,,wind farm,"EDF Renewable Asset Holdings, Inc."
61402,61402,TX,Foard,33.915315,-99.740278,Foard City Wind,2019,WIND,352.8,,wind farm,"Foard City Wind, LLC"
61407,61407,NE,Webster,40.240168,-98.405956,Cottonwood Wind Energy Center,2017,WIND,89.7,,wind farm,Cottonwood Wind Project
61417,61417,TX,Borden,32.875073,-101.208955,Gopher Creek Wind Farm,2019,WIND,158.0,,wind farm,Fluvanna Wind Energy LLC
61442,61442,CA,Monterey,36.464,-121.382,Foundation California Training Facility,2018,WIND,1.8,,wind farm,"Foundation CA Fund IX Manager, LLC"
61443,61443,CA,Monterey,36.504,-121.454,Foundation Mann Packing,2019,WIND,1.8,,wind farm,"Foundation CA Fund IX Manager, LLC"
61444,61444,CA,Monterey,36.474,-121.371,Foundation SaIinas Valley State Prison,2018,WIND,1.8,,wind farm,"Foundation CA Fund IX Manager, LLC"
61540,61540,KS,Ellis,38.874316,-99.405214,Fort Hays State University Wind Farm,2013,WIND,4.0,,wind farm,Fort Hays State University
61564,61564,IA,Clay,43.207406,-95.349397,Upland Prairie,2019,WIND,299.3,,wind farm,Interstate Power and Light Co
61565,61565,IA,Poweshiek,41.57,-92.40718,English Farms,2019,WIND,171.5,,wind farm,Interstate Power and Light Co
61582,61582,CA,Kern,35.073377,-118.268616,Voyager Wind II,2018,WIND,128.7,,wind farm,Terra-Gen Operating Co-Wind
61583,61583,CA,Kern,35.060768,-118.264734,Voyager Wind III,2018,WIND,43.2,,wind farm,Terra-Gen Operating Co-Wind
61584,61584,CA,Kern,35.077872,-118.2497,Voyager Wind IV,2018,WIND,21.6,,wind farm,Terra-Gen Operating Co-Wind
61589,61589,TX,Randall,34.966012,-101.78412,UL Advanced Wind Turbine Test Facility,2016,WIND,3.5,,wind farm,West Texas A&M University
61609,61609,IA,Audubon,41.71138,-94.80199,"Heartland Divide Wind Project, LLC",2018,WIND,103.5,,wind farm,"Heartland Divide Wind Project, LLC"
61638,61638,IA,Mitchell,43.429604,-92.839506,Turtle Creek Wind Farm LLC,2018,WIND,199.2,,wind farm,Turtle Creek Wind Farm LLC
61644,61644,IA,Taylor,40.764914,-94.475628,August Wind Farm,2017,WIND,1.8,,wind farm,"August Wind Energy, LLC"
61650,61650,MN,Lincoln,44.445293,-96.35276,Blazing Star 2 Wind Farm,2021,WIND,200.0,,wind farm,Northern States Power Co - Minnesota
61660,61660,OH,Darke,40.131293,-84.609857,Whirlpool Corp-Greenville Wind Farm,2018,WIND,4.5,,wind farm,OEE XXVI LLC
61668,61668,NE,Platte,41.677,-97.391,"Creston Ridge II, LLC",2017,WIND,6.9,,wind farm,"Creston Ridge II, LLC"
61673,61673,NY,Chautauqua,42.414911,-79.242681,Arkwright Summit Wind Farm LLC,2018,WIND,78.4,,wind farm,Arkwright Summit Wind Farm LLC
61674,61674,TX,Cochran,33.5296,-102.9619,Wildcat Ranch Wind Project,2018,WIND,150.0,,wind farm,"Wildcat Ranch Wind Project, LLC"
61677,61677,NE,Fillmore,40.631872,-97.642708,Perennial Windfarm,2018,WIND,6.9,,wind farm,"Perennial Wind, LLC"
61734,61734,NY,Erie,42.5809,-79.1027,Seneca Nation Cattaraugus Wind Turbine,2017,WIND,1.5,,wind farm,Seneca Nation
61735,61735,IL,Logan,40.03,-89.381,Hilltopper Wind Project,2018,WIND,185.0,,wind farm,"Hilltopper Wind Project, LLC"
61745,61745,SD,Aurora,43.730833,-98.764167,Aurora County Wind,2018,WIND,20.0,,wind farm,Consolidated Edison Development Inc.
61746,61746,SD,Brule,43.717,-98.922,Brule County Wind,2018,WIND,20.0,,wind farm,Consolidated Edison Development Inc.
61747,61747,ND,Dickey,46.098211,-98.880073,"Foxtail Wind, LLC",2020,WIND,150.0,,wind farm,"Foxtail Wind, LLC"
61756,61756,IN,Benton,40.692552,-87.127011,Meadow Lake Wind Farm VI LLC,2018,WIND,200.4,,wind farm,Meadow Lake Wind Farm VI LLC
61773,61773,TX,Cameron,26.288889,-97.496389,"Palmas Wind, LLC",2020,WIND,144.9,,wind farm,"Acciona Energy USA Global, LLC"
61775,61775,MA,Berkshire,42.225765,-73.025764,Town of Otis Wind Energy Project,2018,WIND,1.5,,wind farm,Town of Otis
61776,61776,TX,San Patricio,27.954976,-97.300202,"Midway Wind, LLC",2019,WIND,162.9,,wind farm,"Midway Wind, LLC"
61782,61782,TX,Schleicher,31.048557,-100.623114,Live Oak Wind Project,2019,WIND,199.5,,wind farm,Engie North America
61784,61784,NE,Antelope,42.184336,-97.964978,Upstream Wind Energy LLC,2018,WIND,202.5,,wind farm,Invenergy Services LLC
61787,61787,IL,Henry,41.211057,-90.276024,Bishop Hill III,2018,WIND,119.0,,wind farm,Invenergy Services LLC
61788,61788,MN,Pipestone,43.912882,-96.193221,Hilltop Power,2008,WIND,2.0,,wind farm,"Hilltop Power, LLC"
61789,61789,KS,Marion,38.551,-97.193,"Diamond Vista Wind Project, LLC",2018,WIND,299.3,,wind farm,"Enel Green Power Diamond Vista Wind Project, LLC"
61836,61836,OK,Canadian,35.381047,-98.269562,"Minco Wind IV, LLC",2018,WIND,130.0,,wind farm,"Minco Wind IV, LLC"
61858,61858,MT,Stillwater,45.86584,-109.476647,"Stillwater Wind, LLC",2018,WIND,79.7,,wind farm,Pattern Operators LP
61865,61865,TX,Starr,26.649,-99.0387,"Rio Bravo Windpower, LLC",2019,WIND,237.6,,wind farm,"Rio Bravo Windpower, LLC"
61866,61866,OK,Pushmataha,34.591031,-95.191808,Wildhorse Mountain Wind Facility,2019,WIND,100.0,,wind farm,Southern Power Co
61876,61876,OK,Woodward,36.174278,-99.349164,"Persimmon Creek Wind Farm 1, LLC",2018,WIND,198.6,,wind farm,"Evergy Kansas Central, Inc"
61889,61889,NE,Wayne,42.3119,-97.3647,Sholes Wind Energy Center,2019,WIND,160.0,,wind farm,"Sholes Wind Energy Center, LLC"
61911,61911,IA,Grundy,42.33327,-92.946436,Ivester Wind Farm,2018,WIND,90.8,,wind farm,MidAmerican Energy Co
61916,61916,MI,Tuscola,43.452003,-83.50721,Pegasus Wind,2019,WIND,178.0,,wind farm,"Pegasus Wind, LLC"
61921,61921,TX,Lynn,33.150904,-101.679188,Tahoka Wind,2018,WIND,300.0,,wind farm,"Tahoka Wind, LLC"
61925,61925,NM,Quay,34.604989,-103.966089,Casa Mesa Wind Energy Center Hybrid,2018,WIND,50.9,,wind farm,"Casa Mesa Wind, LLC"
61926,61926,OK,Garfield,36.300964,-97.567042,"Armadillo Flats Wind Project, LLC",2018,WIND,247.3,,wind farm,"Armadillo Flats Wind Project, LLC"
61957,61957,KS,Pratt,37.55,-98.8,"Pratt Wind, LLC",2018,WIND,243.5,,wind farm,"Pratt Wind, LLC"
61969,61969,TX,Webb,27.614411,-98.7945,"Torrecillas Wind Energy, LLC",2019,WIND,300.0,,wind farm,"Torrecillas Wind Energy, LLC"
61970,61970,TX,Wilbarger,34.225882,-99.477986,Blue Summit II Wind,2019,WIND,99.4,,wind farm,"Blue Summit II Wind, LLC"
61984,61984,KS,Thomas,39.306,-101.0744,"Solomon Forks Wind Project, LLC",2019,WIND,275.6,,wind farm,Engie North America
61990,61990,IL,Champaign,40.089797,-88.243573,TAC-Distributed Energy Resource Hybrid,2017,WIND,0.1,,wind farm,Ameren Illinois
62035,62035,IA,Cherokee,42.862,-95.772,Glaciers Edge Wind Project,2019,WIND,211.7,,wind farm,"EDF Renewable Asset Holdings, Inc."
62038,62038,TX,Irion,31.207988,-101.110787,Santa Rita East,2019,WIND,302.4,,wind farm,Invenergy Services LLC
62079,62079,IA,Franklin,42.774955,-93.418067,Whispering Willow North,2020,WIND,201.3,,wind farm,Interstate Power and Light Co
62080,62080,IA,Sac,42.363152,-95.2263,Richland (IA),2020,WIND,130.9,,wind farm,Interstate Power and Light Co
62081,62081,IA,Winnebago,43.430639,-94.016407,Golden Plains,2020,WIND,199.8,,wind farm,Interstate Power and Light Co
62103,62103,IA,Kossuth,42.994681,-94.128733,Kossuth,2020,WIND,152.2,,wind farm,Wisconsin Power & Light Co
62106,62106,RI,Providence,41.79785,-71.529736,"WED Green Hill, LLC",2019,WIND,3.0,,wind farm,"WED Green Hill, LLC"
62107,62107,RI,Providence,41.794583,-71.539967,"WED Plainfield II, LLC",2019,WIND,3.0,,wind farm,"WED Plainfield II, LLC"
62108,62108,RI,Providence,41.793519,-71.530622,"WED Plainfield III, LLC",2019,WIND,3.0,,wind farm,"WED Plainfield III, LLC"
62109,62109,RI,Providence,41.796078,-71.535825,"WED Plainfield, LLC",2019,WIND,3.0,,wind farm,"WED Plainfield, LLC"
62110,62110,RI,Providence,41.798456,-71.540656,"WED Shun I, LLC",2019,WIND,3.0,,wind farm,"WED Shun I, LLC"
62111,62111,RI,Providence,41.800111,-71.536189,"WED Shun II, LLC",2019,WIND,3.0,,wind farm,"WED Shun II, LLC"
62112,62112,RI,Providence,41.799078,-71.549331,"WED Shun III, LLC",2019,WIND,3.0,,wind farm,"WED Shun III, LLC"
62113,62113,CA,Santa Barbara,34.579835,-120.56428,Strauss Wind Farm,2023,WIND,95.3,,wind farm,Strauss Wind LLC
62130,62130,IA,Cass,41.370997,-94.753929,Roseman,2017,WIND,1.8,,wind farm,"Roseman Energy, LLC"
62132,62132,IA,Adair,41.404231,-94.261358,Arbor Hill Wind Farm,2018,WIND,310.0,,wind farm,MidAmerican Energy Co
62133,62133,IA,Poweshiek,41.642776,-92.499064,North English,2018,WIND,340.0,,wind farm,MidAmerican Energy Co
62142,62142,TX,Fisher,32.96736,-100.56428,Amadeus Wind Farm,2020,WIND,250.0,,wind farm,Amadeus Wind LLC
62161,62161,WI,Dane,43.101605,-89.331855,Galactic Wind,2012,WIND,9.9,,wind farm,Galactic Wind
62172,62172,IA,Taylor,40.767636,-94.474375,Birch,2017,WIND,1.8,,wind farm,Birch Power LLC
62207,62207,TX,Zapata,27.03028,-99.388388,Reloj del Sol Wind Farm,2021,WIND,209.4,,wind farm,Reloj del Sol Wind Farm LLC
62220,62220,KS,Thomas,39.306,-101.0744,"East Fork Wind Project, LLC",2020,WIND,195.8,,wind farm,Engie North America
62227,62227,TX,Baylor,33.57824,-99.1921,"Seymour Hills Wind Project, LLC",2019,WIND,30.2,,wind farm,Engie North America
62247,62247,SD,Yankton,43.039,-97.526,Prevailing Wind Park,2020,WIND,220.0,,wind farm,AES Distributed Energy
62258,62258,TX,Starr,26.523692,-98.745522,Mesteno,2019,WIND,201.6,,wind farm,Duke Energy Renewables Services
62259,62259,TX,Crockett,30.594908,-101.453021,Ranchero Wind Farm LLC,2019,WIND,300.0,,wind farm,Ranchero Wind Farm LLC
62269,62269,MN,Pipestone,44.104377,-96.126733,"Stoneray Power Partners, LLC",2019,WIND,100.0,,wind farm,"EDF Renewable Asset Holdings, Inc."
62290,62290,MI,Gratiot,43.262611,-84.499838,Polaris Wind Park,2020,WIND,168.6,,wind farm,DTE Electric Company
62291,62291,MN,Chippewa,44.857694,-95.568888,"Palmer's Creek Wind Farm, LLC",2018,WIND,44.6,,wind farm,"Palmer's Creek Wind Farm, LLC"
62333,62333,NE,Polk,41.165278,-97.570194,"Polk County Renewables, LLC",2018,WIND,2.5,,wind farm,"Polk County Renewables, LLC"
62356,62356,TX,Wilbarger,34.072251,-99.264676,Lockett Windfarm,2019,WIND,183.8,,wind farm,"Lockett Windfarm, LLC"
62364,62364,MN,Nobles,43.789636,-95.852766,Nobles 2 Wind Project,2020,WIND,250.0,,wind farm,"Nobles 2 Power Partners, LLC"
62380,62380,ND,Emmons,46.373013,-100.051111,"Emmons-Logan Wind, LLC",2019,WIND,200.0,,wind farm,"Emmons-Logan Wind, LLC"
62411,62411,TX,Knox,33.609313,-99.58229,Griffin Trail Wind,2021,WIND,225.6,,wind farm,"Griffin Trail Wind, LLC"
62416,62416,TX,Refugio,28.197778,-97.444953,Cranell Wind Farm LLC,2022,WIND,220.0,,wind farm,"Big Sky Wind, LLC"
62417,62417,TX,Matagorda,28.8433,-95.8631,Peyton Creek Wind Farm LLC,2020,WIND,151.2,,wind farm,"Big Sky Wind, LLC"
62431,62431,SD,Butte,44.825883,-103.207412,Willow Creek Wind Power LLC,2020,WIND,105.0,,wind farm,Willow Creek Wind Power LLC
62442,62442,MN,Otter Tail,46.505052,-96.157281,"Lake Region Community Hybrid, LLC",2018,WIND,2.0,,wind farm,"Lake Region Community Hybrid, LLC"
62445,62445,CO,Huerfano,37.766416,-104.42945,Busch Ranch II Wind Farm,2019,WIND,59.4,,wind farm,Black Hills Electric Generation LLC
62475,62475,MO,Lawrence,37.269858,-94.05271,Kings Point Wind Energy Center,2021,WIND,149.4,,wind farm,Empire District Electric Co
62478,62478,MO,Barton,37.38999,-94.51027,North Fork Ridge Wind Energy Center,2020,WIND,149.4,,wind farm,Empire District Electric Co
62481,62481,KS,Neosho,37.485357,-95.37673,Neosho Ridge Wind Energy Center,2021,WIND,301.0,,wind farm,Empire District Electric Co
62482,62482,WV,Greenbrier,38.112222,-80.613055,Beech Ridge II Wind Energy Center,2020,WIND,56.2,,wind farm,Southern Power Co
62488,62488,KS,Allen,37.9788,-95.2244,Prairie Queen Wind Farm,2019,WIND,199.3,,wind farm,Prairie Queen Wind Farm LLC
62489,62489,CO,Kit Carson,39.046623,-102.822377,Crossing Trails Wind Power Project LLC.,2021,WIND,104.0,,wind farm,EDP Renewables North America LLC
62494,62494,OK,Garfield,36.521428,-98.03436,Skeleton Creek Energy Center Hybrid,2020,WIND,250.0,,wind farm,Skeleton Creek Energy Center
62516,62516,WY,Carbon,42.177245,-106.234141,TB Flats,2021,WIND,503.2,,wind farm,PacifiCorp
62562,62562,TX,Upton,31.171652,-101.881147,"High Lonesome Wind Power, LLC Hybrid",2023,WIND,499.5,,wind farm,"High Lonesome Wind Power, LLC"
62563,62563,MO,Schuyler,40.398244,-92.518612,High Prairie Wind Farm,2020,WIND,400.0,,wind farm,Union Electric Co - (MO)
62566,62566,TX,Hardeman,34.170488,-99.563436,Blue Summit III Wind,2019,WIND,200.2,,wind farm,"Blue Summit III Wind, LLC"
62570,62570,MA,Berkshire,42.543748,-73.292632,Jiminy Peak Wind QF,2007,WIND,1.5,,wind farm,"Jiminy Peak Mountain Resort, LLC"
62587,62587,TX,Nolan,32.255978,-100.320309,Mesquite Star,2020,WIND,418.9,,wind farm,Mesquite Star Special LLC
62591,62591,WY,Carbon,41.932405,-106.35843,Ekola Flats,2020,WIND,250.9,,wind farm,PacifiCorp
62592,62592,IN,Randolph,40.051694,-85.206694,Headwaters Wind Farm II LLC,2021,WIND,200.0,,wind farm,EDP Renewables North America LLC
62606,62606,IL,Logan,39.929,-89.19,Whitney Hill Wind Power LLC,2020,WIND,65.0,,wind farm,Whitney Hill Wind Power LLC
62618,62618,TX,Hidalgo,26.492862,-98.448267,Hidalgo Wind Farm II,2020,WIND,50.4,,wind farm,Hidalgo Wind Farm II LLC
62620,62620,TX,Lynn,33.303497,-101.65722,Sage Draw Wind,2021,WIND,338.4,,wind farm,"Sage Draw Wind, LLC"
62624,62624,MO,Nodaway,40.254993,-94.972184,"White Cloud Wind Project, LLC",2020,WIND,236.5,,wind farm,"White Cloud Wind Project, LLC"
62630,62630,TX,Andrews,32.386,-102.949,Jumbo Hill Wind Project,2020,WIND,160.7,,wind farm,Engie North America
62642,62642,TX,Lubbock,33.59145,-102.056875,GE-Lubbock,2014,WIND,8.7,,wind farm,GE Wind Energy LLC
62653,62653,OH,Hancock,41.093078,-83.637778,Zephyr Wind Project - 2.0,2020,WIND,4.5,,wind farm,OEE XXX LLC
62654,62654,CA,Monterey,36.459294,-121.350083,Foundation Dole Fresh Vegetables,2022,WIND,5.6,,wind farm,Foundation CA Fund X Manager LLC
62711,62711,NE,Wayne,42.16159,-97.203789,Plum Creek Wind Project (NE),2020,WIND,230.0,,wind farm,"Plum Creek Wind, LLC"
62715,62715,TX,Cooke,33.54915,-97.32958,Wildcat Creek Wind Farm LLC,2021,WIND,175.3,,wind farm,Wildcat Creek Wind Farm LLC
62736,62736,NY,Wayne,43.22731,-77.364092,Harbec Energy,2001,WIND,1.2,,wind farm,Harbec Energy
62745,62745,OR,Morrow,45.55975,-119.6338,Wheatridge Hybrid,2020,WIND,200.0,,wind farm,"Wheatridge Wind Holdings, LLC"
62752,62752,OH,Paulding,41.192377,-84.61256,LafargeHolcim - Paulding Wind Project,2020,WIND,4.5,,wind farm,OEE XXVIII LLC
62765,62765,TX,Knox,33.732181,-99.726392,El Campo Wind,2020,WIND,242.8,,wind farm,"El Campo Wind, LLC (Longroad)"
62783,62783,TX,Bee,28.2078,-97.522673,Blackjack Creek Wind Farm,2023,WIND,239.6,,wind farm,"Big Sky Wind, LLC"
62795,62795,IA,Ida,42.326854,-95.458818,Ida Grove II,2019,WIND,201.0,,wind farm,MidAmerican Energy Co
62809,62809,TX,Callahan,32.28938,-99.291596,BMP Wind (TX),2021,WIND,340.0,,wind farm,BMP Wind LLC
62815,62815,MI,Delta,45.683618,-86.645742,Fairbanks Wind Park,2022,WIND,72.8,,wind farm,DTE Electric Company
62836,62836,TX,Nolan,32.199366,-100.491908,Maryneal Windpower,2021,WIND,182.4,,wind farm,Duke Energy Renewables Services
62837,62837,OK,Kay,36.82478,-97.029777,Frontier Windpower II,2021,WIND,351.8,,wind farm,Duke Energy Renewables Services
62840,62840,CO,Weld,40.960618,-104.003174,"Mountain Breeze Wind, LLC",2020,WIND,171.7,,wind farm,"Leeward Asset Management, LLC"
62853,62853,TX,Concho,31.262546,-99.843961,Maverick Creek Wind,2022,WIND,491.6,,wind farm,Algonquin Power Co
62855,62855,TX,Willacy,26.376651,-97.993045,West Raymond Wind Farm LLC,2021,WIND,239.8,,wind farm,"Big Sky Wind, LLC"
62857,62857,ME,Oxford,44.6148,-70.6176,RoxWind,2021,WIND,15.3,,wind farm,RoxWind LLC
62871,62871,OK,Woodward,36.546545,-99.357603,Boiling Springs Wind Farm,2020,WIND,148.4,,wind farm,"Big Sky Wind, LLC"
62891,62891,IN,White,40.770899,-86.875007,Rosewater Wind Farm,2020,WIND,102.0,,wind farm,Rosewater Wind Farm LLC
62897,62897,MA,Hampden,42.212535,-72.871262,Holiday Hill Community Wind,2019,WIND,5.0,,wind farm,Greenbacker Renewable Energy Corporation
62909,62909,TX,Willacy,26.364153,-97.780439,"Raymond Wind Farm, LLC",2021,WIND,200.2,,wind farm,"Big Sky Wind, LLC"
62935,62935,OR,Morrow,45.38,-119.3332,"Orchard Windfarm 1, LLC",2020,WIND,10.0,,wind farm,"Orchard Windfarm, LLC"
62936,62936,WA,Adams,46.941015,-118.567136,Rattlesnake Flat,2020,WIND,144.0,,wind farm,"Rattlesnake Flat, LLC"
62938,62938,ND,Morton,46.964077,-101.816495,Glen Ullin Energy Center,2019,WIND,106.7,,wind farm,ALLETE Clean Energy
62939,62939,MT,Judith Basin,47.329911,-110.614592,South Peak Wind,2020,WIND,80.0,,wind farm,ALLETE Clean Energy
62943,62943,SD,Deuel,44.863583,-96.534631,Deuel Harvest Wind Energy LLC,2021,WIND,300.0,,wind farm,Southern Power Co
62944,62944,OH,Paulding,41.121,-84.751,Timber Road IV,2020,WIND,125.1,,wind farm,Paulding Wind Farm IV LLC
62952,62952,CO,Cheyenne,39.016944,-102.2113,Cheyenne Ridge Wind Farm,2020,WIND,498.4,,wind farm,Public Service Co of Colorado
62956,62956,NE,Antelope,42.062002,-98.238961,Thunderhead Wind Energy LLC,2022,WIND,300.0,,wind farm,Invenergy Services LLC
63003,63003,IL,Henry,41.269197,-89.995022,Midland Wind,2023,WIND,105.5,,wind farm,Avangrid Power LLC
63025,63025,MO,Nodaway,40.369799,-94.892014,Clear Creek Wind,2020,WIND,242.0,,wind farm,"Clear Creek Wind, LLC"
63030,63030,TX,Deaf Smith,35.200164,-102.315517,"Canadian Breaks, LLC",2019,WIND,210.1,,wind farm,Canadian Breaks LLC
63053,63053,IA,Palo Alto,43.206691,-94.548094,Palo Alto Wind Farm,2020,WIND,340.0,,wind farm,MidAmerican Energy Co
63100,63100,TX,Limestone,31.549868,-96.904072,Prairie Hill Wind Project,2020,WIND,300.0,,wind farm,Engie North America
63101,63101,TX,Zapata,26.69842,-99.05745,Las Lomas Wind Project,2020,WIND,201.6,,wind farm,Engie North America
63102,63102,SD,Grant,45.267621,-97.103982,Dakota Range III Wind Project,2021,WIND,153.6,,wind farm,Engie North America
63103,63103,SD,Hyde,44.40104,-99.603836,Triple H Wind Project,2020,WIND,250.2,,wind farm,Engie North America
63104,63104,OK,Garfield,36.400148,-97.477464,King Plains Wind Project,2020,WIND,248.2,,wind farm,Engie North America
63114,63114,AZ,Mohave,35.791142,-114.504504,Mohave County Wind Farm,2020,WIND,350.0,,wind farm,Mohave County Wind Farm
