objectid,descripcion,numero,municipio,municipio_ine,provincia,provincia_data,cuenca,poligono_industrial,mw,minetur,tecnologia,avistamiento,alta,baja,fecha_mod,longitude,latitude
3,"PARQUE ELICO CORDAL DE MONTOUTO",1,"A CORUÑA Aranga",INE150032,"A Coruña","A CORUÑA","RIO MENDO","",14,RE-112094,Eólica,b.2.1,2014-11-13,,2025-05-22,-7.97888899999997,43.18888900000012
4,"P. E. SERRA DA LOBA",2,"A CORUÑA Aranga",INE150032,"A Coruña","A CORUÑA","RIO MENDO","",36,RE-006314 y 1 más,Eólica,b.2.1,2005-06-22,,2025-05-22,-7.998600999999936,43.25625200000013
16,"P. E. SINGULAR INDITEX",1,"A CORUÑA Arteixo",INE150050,"A Coruña","A CORUÑA","RIO DE ARTEIXO","",0.85,RE-006762,Eólica,b.2.1,2004-06-02,,2025-05-22,-8.509721999999945,43.29972200000006
17,"P.E. SINGULAR ARTEIXO",1,"A CORUÑA Arteixo",INE150050,"A Coruña","A CORUÑA","RIO DE ARTEIXO","",2,RE-104296,Eólica,b.2.1,2010-04-23,,2025-05-22,-8.51111099999995,43.30444400000003
40,"P. E. SILVARREDONDA",1,"A CORUÑA Cabana de Bergantiños",INE150145,"A Coruña","A CORUÑA","RIO ANLLONS","",16.9,RE-006312,Eólica,b.2.1,2005-08-17,,2025-05-22,-8.843405999999966,43.18875900000011
41,"PARQUE EOLICO MOURINOS",1,"A CORUÑA Cabana de Bergantiños",INE150145,"A Coruña","A CORUÑA","RIO ANLLONS","",9.61,RE-112911,Eólica,b.2.1,2019-09-12,,2025-05-22,-8.938264999999912,43.193674000000094
43,"P. E. VIRAVENTO  (antesCABO VILANO AWEC-60)",1,"A CORUÑA Camariñas",INE150161,"A Coruña","A CORUÑA","INTERCUENCA ATLANTICO NORTE","",1.2,RE-000922,Eólica,b.2.1,2004-06-21,,2025-05-22,-9.199721999999868,43.14972200000005
44,"P.E. DO VILAN",3,"A CORUÑA Camariñas",INE150161,"A Coruña","A CORUÑA","INTERCUENCA ATLANTICO NORTE","",22.9,RE-000921 y 2 más,Eólica,b.2.1,1998-01-01,,2025-05-22,-9.182199999999924,43.152652000000096
45,"P.E. PEÑA FORCADA",1,"A CORUÑA Camariñas",INE150161,"A Coruña","A CORUÑA","REGO DE LAZO","",33.8,RE-003880,Eólica,b.2.1,2003-04-11,,2025-05-22,-9.11256799999993,43.16535500000004
56,"PARQUE EOLICO A CAPELADA",2,"A CORUÑA Cariño",INE159012,"A Coruña","A CORUÑA","REGO DE GUIMIL","",31.35,RE-001064 y 1 más,Eólica,b.2.1,1998-01-01,,2025-05-22,-7.953055999999929,43.66361100000004
58,"PARQUE EOLICO DE COUCEPENIDO",2,"A CORUÑA Cedeira",INE150222,"A Coruña","A CORUÑA","REGO DO LOURIDO","",33,RE-001120 y 1 más,Eólica,b.2.1,1999-08-31,,2025-05-22,-7.939999999999908,43.719722000000026
62,"PES CERCEDA",1,"A CORUÑA Cerceda",INE150243,"A Coruña","A CORUÑA","RIO TAMBRE","",2.55,RE-111268,Eólica,b.2.1,2013-04-11,,2025-05-22,-8.506110999999947,43.18500000000009
69,"P.E. DE CASTELO",1,"A CORUÑA Coristanco",INE150294,"A Coruña","A CORUÑA","RIO XALLAS","",16.5,RE-002009,Eólica,b.2.1,2001-06-14,,2025-05-22,-8.699526999999911,43.09608500000014
90,"P.E. PONTE REBORDELO",1,"A CORUÑA Dumbría",INE150341,"A Coruña","A CORUÑA","RIO XALLAS","",40.3,RE-009065,Eólica,b.2.1,2006-09-27,,2025-05-22,-9.04698199999995,42.88010900000011
91,"P.E.VALSAGUEIRO",4,"A CORUÑA Dumbría",INE150341,"A Coruña","A CORUÑA","RIO XALLAS","",32.5,RE-018585 y 3 más,Eólica,b.2.1,2007-10-19,,2025-05-22,-9.02972199999989,42.89138900000014
92,"P. E. DE PAXAREIRAS II D Y E (ampliado el 22-9-02)",2,"A CORUÑA Dumbría",INE150341,"A Coruña","A CORUÑA","RIO ROSA","",34.8,RE-003232 y 1 más,Eólica,b.2.1,2002-08-14,,2025-05-22,-9.133055999999941,42.93277800000007
93,"PARQUE EOLICO ALTO DA CROA II",1,"A CORUÑA Dumbría",INE150341,"A Coruña","A CORUÑA","RIO XALLAS","",10.395,RE-113408,Eólica,b.2.1,2021-05-02,,2025-05-22,-9.062068999999935,43.013080000000116
104,"P.E. PENA GALLUDA",1,"A CORUÑA Laracha, A",INE150413,"A Coruña","A CORUÑA","RIO MENDO","",0.66,RE-003141,Eólica,b.2.1,2002-09-25,,2025-05-22,-8.055555999999928,43.20555600000008
105,"PARQUE EOLICO PENA FORCADA-CATASOL II",1,"A CORUÑA Laxe",INE150406,"A Coruña","A CORUÑA","REGO DE SOESTO","",7.2,RE-112912,Eólica,b.2.1,2019-09-05,,2025-05-22,-9.015712999999902,43.188040000000086
107,"PARQUE EOLICO MONTE TREITO",1,"A CORUÑA Lousame",INE150428,"A Coruña","A CORUÑA","RIO ULLA","",30.39,RE-002431,Eólica,b.2.1,2001-08-09,,2025-05-22,-8.73777799999994,42.78750000000008
109,"P. E. DE MALPICA",1,"A CORUÑA Malpica de Bergantiños",INE150434,"A Coruña","A CORUÑA","RIO DE ESTEIRO","",16.45,RE-001138,Eólica,b.2.1,2017-10-01,,2025-05-22,-8.889999999999903,43.29972200000006
110,"P.E. SERRA DA PANDA (ampliado el 21-10-02)",1,"A CORUÑA Mañón",INE150449,"A Coruña","A CORUÑA","RIO BALEO","",18.48,RE-002887,Eólica,b.2.1,2001-12-01,,2025-05-22,-7.758888999999959,43.642222000000075
111,"PARQUE EOLICO CORISCADA",1,"A CORUÑA Mañón",INE150449,"A Coruña","A CORUÑA","RIO BALEO","",24,RE-000958,Eólica,b.2.1,1998-03-04,,2025-05-22,-7.743055999999957,43.66583300000017
112,"PARQUE EOLICO PAXAREIRAS II-C (VIRXE DO MONTE)",1,"A CORUÑA Mazaricos",INE150452,"A Coruña","A CORUÑA","RIO XALLAS","",19.2,RE-001136,Eólica,b.2.1,1999-12-03,,2025-05-22,-9.058332999999939,42.8583330000001
113,"P. E. DE PAXAREIRAS II B (ADRAÑO)",1,"A CORUÑA Mazaricos",INE150452,"A Coruña","A CORUÑA","RIO XALLAS","",21.6,RE-002434,Eólica,b.2.1,2001-06-26,,2025-05-22,-9.039578999999929,42.87187800000001
114,"P. E.  PAXAREIRAS- MONTEVOS (PAXAREIRAS I Y II A)",2,"A CORUÑA Mazaricos",INE150452,"A Coruña","A CORUÑA","RIO XALLAS","",39.6,RE-1023/1024 y 1 más,Eólica,b.2.1,1998-01-01,,2025-05-22,-9.029999999999962,42.89138900000014
115,"P. E. CURRAS(PAXAREIRAS 2F AMPLIACION)",2,"A CORUÑA Mazaricos",INE150452,"A Coruña","A CORUÑA","RIO XALLAS","",32.4,RE-001153 y 1 más,Eólica,b.2.1,1999-12-03,,2025-05-22,-9.038610999999932,42.91138900000008
116,"P.E. SERRA DE OUTES",1,"A CORUÑA Mazaricos",INE150452,"A Coruña","A CORUÑA","RIO ENTINS","",33.6,RE-005667,Eólica,b.2.1,2004-07-12,,2025-05-22,-8.925356999999913,42.91340200000014
122,"P.E. TOURIÑAN IV",2,"A CORUÑA Monfero",INE150503,"A Coruña","A CORUÑA","RIO MENDO","",24.65,RE-017696 y 1 más,Eólica,b.2.1,2007-09-18,,2025-05-22,-8.021388999999898,43.156111000000074
123,"P.E. PEÑA REVOLTA",2,"A CORUÑA Monfero",INE150503,"A Coruña","A CORUÑA","RIO LAMBRE","",14,RE-023438 y 1 más,Eólica,b.2.1,2007-12-21,,2025-05-22,-7.991966999999923,43.297059000000054
124,"PARQUE EOLICO DE SOTAVENTO",2,"A CORUÑA Monfero",INE150503,"A Coruña","A CORUÑA","RIO EUME","",17.66,RE-001842 y 1 más,Eólica,b.2.1,2001-02-09,,2025-05-22,-7.883574999999962,43.34816500000004
128,"P.E. PEDREGAL TREMUZO",3,"A CORUÑA Muros",INE150531,"A Coruña","A CORUÑA","RIO XALLAS","",44.6,RE-003766 y 2 más,Eólica,b.2.1,2002-12-19,,2025-05-22,-9.029443999999884,42.89138900000014
129,"PARQUE EOLICO MUXIA I",2,"A CORUÑA Muxía",INE150525,"A Coruña","A CORUÑA","RIO DO CASTRO","",68,RE-112720 y 1 más,Eólica,b.2.1,2018-07-15,,2025-05-22,-9.24995599999994,43.04258800000009
137,"PE CORZAN",2,"A CORUÑA Negreira",INE150562,"A Coruña","A CORUÑA","RIO XALLAS","",43.2,RE436-0478 y 1 más,Eólica,b.2.1,2005-07-01,,2025-05-22,-9.02972199999989,42.891111000000116
146,"P.E. DE FORGOSELO",1,"A CORUÑA Ortigueira",INE150618,"A Coruña","A CORUÑA","RIO BELELLE","",24.42,RE-001625,Eólica,b.2.1,2000-06-09,,2025-05-22,-8.069721999999956,43.4566670000001
147,"P. E.  TEIXIDO",1,"A CORUÑA Ortigueira",INE150618,"A Coruña","A CORUÑA","RIO SOR","",23.1,RE-003503,Eólica,b.2.1,2002-07-26,,2025-05-22,-7.780435999999906,43.56503000000011
148,"P. E.  FALADOIRA",1,"A CORUÑA Ortigueira",INE150618,"A Coruña","A CORUÑA","RIO SOR","",24.42,RE-003502,Eólica,b.2.1,2002-07-26,,2025-05-22,-7.781470999999962,43.56662200000004
149,"P.E. SINGULAR DE ORTIGUEIRA",1,"A CORUÑA Ortigueira",INE150618,"A Coruña","A CORUÑA","RIO BALEO","",2.9,RE-028031,Eólica,b.2.1,2008-06-24,,2025-05-22,-7.779166999999943,43.64611100000014
150,"P.E. MONTE RANDE",1,"A CORUÑA Ortigueira",INE150618,"A Coruña","A CORUÑA","RIO DE OLA","",9.35,RE-019887,Eólica,b.2.1,2007-11-29,,2025-05-22,-7.756388999999957,43.69166700000009
153,"P.E. SINGULAR DE PADRON",1,"A CORUÑA Padrón",INE150657,"A Coruña","A CORUÑA","RIO ULLA","",1.7,RE-006971,Eólica,b.2.1,2005-07-29,,2025-05-22,-8.624721999999922,42.75722200000011
157,"Parque Eolico Singular de Pobra do Caraminal",1,"A CORUÑA Pobra do Caramiñal, A",INE150676,"A Coruña","A CORUÑA","REGO DAS SAIÑAS","",3,RE-110867,Eólica,b.2.1,2013-01-22,,2025-05-22,-8.970832999999947,42.57555600000006
158,"PARQUE EOLICO DE BARBANZA",4,"A CORUÑA Pobra do Caramiñal, A",INE150676,"A Coruña","A CORUÑA","REGO DE PORTOVELLO","",29.04,RE-001067 y 3 más,Eólica,b.2.1,1998-01-01,,2025-05-22,-8.996110999999937,42.72694400000011
161,"PARQUE EOLICO CORME G-3",1,"A CORUÑA Ponteceso",INE150682,"A Coruña","A CORUÑA","RIO ANLLONS","",18.3,RE-001405,Eólica,b.2.1,2021-07-27,,2025-05-22,-8.885832999999892,43.215278000000126
162,"P.E. SINGULAR MONTE DA BARDA (FARELO)",1,"A CORUÑA Ponteceso",INE150682,"A Coruña","A CORUÑA","","",3,RE-005870,Eólica,b.2.1,2005-12-15,,2025-05-22,-8.91916699999993,43.24250000000009
169,"P.E. CARBALLEIRA",1,"A CORUÑA Pontes de García Rodríguez, As",INE150709,"A Coruña","A CORUÑA","RIO EUME","",24.42,RE-005991,Eólica,b.2.1,2004-12-03,,2025-05-22,-7.848332999999973,43.44472200000011
170,"P.E. CAXADO (Ampliada potencia 17-01-2003)",1,"A CORUÑA Pontes de García Rodríguez, As",INE150709,"A Coruña","A CORUÑA","RIO SOR","",24.42,RE-003087,Eólica,b.2.1,2002-08-13,,2025-05-22,-7.805836999999909,43.51347900000012
171,"P.E. PENA DA LOBA (ampliado el 7-1-03)",1,"A CORUÑA Pontes de García Rodríguez, As",INE150709,"A Coruña","A CORUÑA","RIO SOR","",24.42,RE-003088,Eólica,b.2.1,2002-05-20,,2025-05-22,-7.804514999999963,43.53609400000003
177,"P.E. GRAIADE",2,"A CORUÑA Porto do Son",INE150716,"A Coruña","A CORUÑA","RIO DE SIEIRA","",19.8,RE-018386 y 1 más,Eólica,b.2.1,2007-11-29,,2025-05-22,-8.985555999999976,42.68527800000004
178,"Parque Eolico Singular de Porto do Son",1,"A CORUÑA Porto do Son",INE150716,"A Coruña","A CORUÑA","RIO MAIOR","",3,RE-110868,Eólica,b.2.1,2013-01-22,,2025-05-22,-9.008610999999945,42.69416700000011
189,"P.E. FONTESILVA",3,"A CORUÑA Santa Comba",INE150774,"A Coruña","A CORUÑA","RIO XALLAS","",28.8,RE-101652 y 2 más,Eólica,b.2.1,2009-12-22,,2025-05-22,-8.86749999999992,43.09361100000009
209,"PARQUE EÓLICO COTO DE CODESAS II  ",4,"A CORUÑA Sobrado",INE150807,"A Coruña","A CORUÑA","RIO ULLA","",21.25,RE-102798 y 3 más,Eólica,b.2.1,2009-08-28,,2025-05-22,-8.002221999999911,42.988889000000015
211,"P.E. REQUEIXO",1,"A CORUÑA Somozas, As",INE150814,"A Coruña","A CORUÑA","RIO EUME","",10.5,RE-004628,Eólica,b.2.1,2004-03-02,,2025-05-22,-7.88683699999997,43.51141600000009
212,"PARQUE EOLICO DE MONTE DA SERRA",2,"A CORUÑA Somozas, As",INE150814,"A Coruña","A CORUÑA","RIO MERA","",36.6,RE-000876 y 1 más,Eólica,b.2.1,2000-03-09,,2025-05-22,-7.877007999999907,43.52494800000007
213,"P. E. MONTE DAS AUGAS",1,"A CORUÑA Somozas, As",INE150814,"A Coruña","A CORUÑA","RIO GRANDE DE XUBIA","",3,RE-009783,Eólica,b.2.1,2006-06-16,,2025-05-22,-7.907698999999979,43.543714000000115
214,"PARQUE EOLICO DE MONTE MARBAN",1,"A CORUÑA Somozas, As",INE150814,"A Coruña","A CORUÑA","RIO GRANDE DE XUBIA","",11.4,RE-001605,Eólica,b.2.1,2000-06-19,,2025-05-22,-7.897299999999933,43.54674400000004
218,"P.E. CAREÓN",1,"A CORUÑA Toques",INE150835,"A Coruña","A CORUÑA","RIO ULLA","",18,RE-001466,Eólica,b.2.1,2000-04-14,,2025-05-22,-8.00972199999995,42.90972200000004
219,"P.E. CODESAS I",1,"A CORUÑA Toques",INE150835,"A Coruña","A CORUÑA","RIO TAMBRE","",17,RE-018896,Eólica,b.2.1,2007-10-05,,2025-05-22,-8.002221999999911,43.001834999999986
222,"P.E. NOVO",1,"A CORUÑA Valdoviño",INE150872,"A Coruña","A CORUÑA","RIO GRANDE DE XUBIA","",18.75,RE-003505,Eólica,b.2.1,2002-06-28,,2025-05-22,-8.064443999999948,43.55000000000011
234,"PARQUE EOLICO MONTE TOURADO",1,"A CORUÑA Vimianzo",INE150927,"A Coruña","A CORUÑA","RIO GRANDE","",10.395,RE-113427,Eólica,b.2.1,2021-05-02,,2025-05-22,-9.009418999999932,43.08413000000012
235,"PARQUE EOLICO MONTE TOURADO - EIXE",1,"A CORUÑA Vimianzo",INE150927,"A Coruña","A CORUÑA","RIO GRANDE","",39.6,RE-112933,Eólica,b.2.1,2019-09-04,,2025-05-22,-9.015869999999941,43.08648900000007
236,"PARQUE EOLICO MINON",1,"A CORUÑA Vimianzo",INE150927,"A Coruña","A CORUÑA","RIO GRANDE","",24,RE-113036,Eólica,b.2.1,2019-11-28,,2025-05-22,-8.982150999999904,43.0987010000001
237,"P.E. MONTE REDONDO",1,"A CORUÑA Vimianzo",INE150927,"A Coruña","A CORUÑA","RIO GRANDE","",49.5,RE-003021,Eólica,b.2.1,2001-12-26,,2025-05-22,-9.068888999999956,43.10944400000006
238,"P. E. O BARRIGOSO",1,"A CORUÑA Vimianzo",INE150927,"A Coruña","A CORUÑA","RIO GRANDE","",3,RE-006313,Eólica,b.2.1,2005-07-08,,2025-05-22,-9.02972199999989,43.10972200000008
239,"MINIEOLICA NO PARQUE EMPRESARIAL DE VIMIANZO",1,"A CORUÑA Vimianzo",INE150927,"A Coruña","A CORUÑA","RIO GRANDE","",0.018,RE-112442,Eólica,b.2.1,2016-09-01,,2025-05-22,-9.02377399999994,43.12061900000003
242,"PARQUE EOLICO MONTE TOURADO",1,"A CORUÑA Zas",INE150933,"A Coruña","A CORUÑA","RIO XALLAS","",22.5,RE-114809,Eólica,b.2.1,2024-04-09,,2025-05-22,-8.95133299999999,43.03450000000011
243,"PLANTA EOLICA DE ZAS",2,"A CORUÑA Zas",INE150933,"A Coruña","A CORUÑA","RIO GRANDE","",26.25,RE-001071 y 1 más,Eólica,b.2.1,2019-12-03,,2025-05-22,-8.867652999999963,43.1078350000001
250,"P.E. DEHESA VIRGINIA",1,"ALBACETE Alatoz",INE020024,"Albacete","ALBACETE","RIO JUCAR","",30,RE-002924,Eólica,b.2.1,2007-08-06,,2025-05-22,-1.342799999999925,39.06872600000004
262,"P. E. CAPIRUZA I (10MW, 26/1/05, 14MW 7/03/05))",4,"ALBACETE Albacete",INE020030,"Albacete","ALBACETE","RIO JUCAR","",50,RE-002166 y 3 más,Eólica,b.2.1,2004-01-16,,2025-05-22,-2.0041669999998977,38.74194400000005
263,"PE LOMA VISO I",1,"ALBACETE Albacete",INE020030,"Albacete","ALBACETE","RIO JUCAR","",2,RE-002227,Eólica,b.2.1,2007-02-23,,2025-05-22,-1.8499999999999546,38.990000000000116
264,"P.E. LOMA VISO II",1,"ALBACETE Albacete",INE020030,"Albacete","ALBACETE","RIO JUCAR","",3,RE-102159,Eólica,b.2.1,2009-12-15,,2025-05-22,-1.8599999999999615,38.997500000000045
443,"P. E. LA FUENSANTA",2,"ALBACETE Alcadozo",INE020061,"Albacete","ALBACETE","RIO JUCAR","",49.5,RE-003112 y 1 más,Eólica,b.2.1,2005-06-21,,2025-05-22,-2.0622219999999225,38.70333300000004
456,"P.E. SIERRA DE LA OLIVA",2,"ALBACETE Almansa",INE020096,"Albacete","ALBACETE","RIO VINALOPO","",30,RE-002939 y 1 más,Eólica,b.2.1,2005-09-01,,2025-05-22,-0.9649999999999703,38.75027800000009
457,"P.E. CERRO DE LA SILLA",1,"ALBACETE Almansa",INE020096,"Albacete","ALBACETE","RIO VINALOPO","",15.3,RE-007070,Eólica,b.2.1,2005-10-27,,2025-05-22,-1.0015259999999178,38.763526000000105
458,"P.E. LAS HOYUELAS-ROSALES",1,"ALBACETE Almansa",INE020096,"Albacete","ALBACETE","RIO VINALOPO","",32,RE-002040,Eólica,b.2.1,2006-05-24,,2025-05-22,-1.1158329999999284,38.821667000000076
480,"P.E. EL RELUMBRAR",2,"ALBACETE Alpera",INE020100,"Albacete","ALBACETE","RIO JUCAR","",40,RE-002236 y 1 más,Eólica,b.2.1,2009-01-20,,2025-05-22,-1.3402779999999233,39.02166700000011
481,"EL MORALEJO II",1,"ALBACETE Alpera",INE020100,"Albacete","ALBACETE","RIO JUCAR","",12,RE-008770,Eólica,b.2.1,2006-05-25,,2025-05-22,-1.3972219999999502,39.02583300000008
482,"P.E. FUENTE DE LA ARENA",1,"ALBACETE Alpera",INE020100,"Albacete","ALBACETE","RIO JUCAR","",30,RE-002923,Eólica,b.2.1,2007-08-06,,2025-05-22,-1.2948849999999672,39.026400000000145
483,"P. E.MUELA DE TORTOSILLA",1,"ALBACETE Alpera",INE020100,"Albacete","ALBACETE","RIO JUCAR","",36.96,RE-001415,Eólica,b.2.1,2000-04-27,,2025-05-22,-1.2411109999999164,39.03055600000011
484,"MORAL1",1,"ALBACETE Alpera",INE020100,"Albacete","ALBACETE","RIO JUCAR","",6,RE-007225,Eólica,b.2.1,2006-01-25,,2025-05-22,-1.2802779999999505,39.085278000000066
505,"PROTOTIPO DE AEROGENERADOR ENRON EW 3,6",1,"ALBACETE Barrax",INE020156,"Albacete","ALBACETE","RIO JUCAR","",3.6,RE-002172,Eólica,b.2.1,2002-08-29,,2025-05-22,-2.199999999999919,39.04972200000007
506,"BARRAX NORTE-SUR",1,"ALBACETE Barrax",INE020156,"Albacete","ALBACETE","RIO JUCAR","",39.9,RE-113352,Eólica,b.2.1,2021-04-15,,2025-05-22,-2.231163999999955,39.04979400000007
507,"PE LA NAVICA",2,"ALBACETE Barrax",INE020156,"Albacete","ALBACETE","RIO JUCAR","",30,RE-003746 y 1 más,Eólica,b.2.1,2007-12-21,,2025-05-22,-2.188126999999943,39.151769000000115
522,"DERRAMADOR",1,"ALBACETE Bonete",INE020181,"Albacete","ALBACETE","RIO SEGURA","",5,RE-113709,Eólica,b.2.1,2023-04-23,,2025-05-22,-1.3667779999999679,38.817833000000086
523,"P.E.  VIRGEN DE BELEN II",1,"ALBACETE Bonete",INE020181,"Albacete","ALBACETE","RIO VINALOPO","",24.42,RE-01A-129,Eólica,b.2.1,2000-08-29,,2025-05-22,-1.3176859999999786,38.869211000000135
524,"P. E. VIRGEN DE BELEN I (ampliado con P/RE-3744)",2,"ALBACETE Bonete",INE020181,"Albacete","ALBACETE","RIO VINALOPO","",33.1,RE-002412 y 1 más,Eólica,b.2.1,2001-01-31,,2025-05-22,-1.3101779999999128,38.88019600000008
525,"ERAS DE BONETE",1,"ALBACETE Bonete",INE020181,"Albacete","ALBACETE","RIO VINALOPO","",5,RE-113164,Eólica,b.2.1,2020-05-20,,2025-05-22,-1.348968999999966,38.8958430000001
539,"P. E. LA CABAÑA",1,"ALBACETE Bonillo, El",INE020194,"Albacete","ALBACETE","RIO JUCAR","",41.65,RE436-0440,Eólica,b.2.1,2004-09-07,,2025-05-22,-2.446296999999954,38.922730000000094
540,"P.E. CABEZA MORENA - DUEÑAS",4,"ALBACETE Bonillo, El",INE020194,"Albacete","ALBACETE","RIO GUADIANA","",50,RE-002168 y 3 más,Eólica,b.2.1,2008-05-21,,2025-05-22,-2.5169439999999175,38.96361100000013
541,"P. E. EL GRAMAL",1,"ALBACETE Bonillo, El",INE020194,"Albacete","ALBACETE","RIO GUADIANA","",37.4,RE436-0439,Eólica,b.2.1,2004-09-07,,2025-05-22,-2.4409249999999334,38.969192000000064
542,"P.E. CASA DEL AIRE I",1,"ALBACETE Bonillo, El",INE020194,"Albacete","ALBACETE","RIO GUADIANA","",49.98,RE-002164,Eólica,b.2.1,2007-12-17,,2025-05-22,-2.585368999999951,38.96980200000012
543,"P. E. EL PORTACHUELO",1,"ALBACETE Bonillo, El",INE020194,"Albacete","ALBACETE","RIO GUADIANA","",45.05,RE436-0441,Eólica,b.2.1,2004-09-07,,2025-05-22,-2.46506199999993,38.974856000000074
544,"P.E. CASA DEL AIRE II",1,"ALBACETE Bonillo, El",INE020194,"Albacete","ALBACETE","RIO GUADIANA","",49.98,RE-002165,Eólica,b.2.1,2007-12-17,,2025-05-22,-2.5965619999999436,38.99723600000008
545,"PARQUE EOLICO LANTERNOSO",1,"ALBACETE Bonillo, El",INE020194,"Albacete","ALBACETE","RIO GUADIANA","",24,RE-005986,Eólica,b.2.1,2004-11-24,,2025-05-22,-2.683610999999902,39.06833300000004
554,"P. E. CARCELEN",1,"ALBACETE Carcelén",INE020208,"Albacete","ALBACETE","RIO JUCAR","",49.6,RE-002064,Eólica,b.2.1,2004-01-30,,2025-05-22,-1.3180559999999475,39.078611000000095
557,"P.E. ISABELA",1,"ALBACETE Casas de Lázaro",INE020220,"Albacete","ALBACETE","RIO JUCAR","",48,RE-002717,Eólica,b.2.1,2001-06-14,,2025-05-22,-2.176666999999945,38.695556000000096
607,"P. E. CERRO REVOLCADO",1,"ALBACETE Caudete",INE020254,"Albacete","ALBACETE","RIO VINALOPO","",26.35,RE436-0303,Eólica,b.2.1,2004-07-15,,2025-05-22,-1.0651679999999755,38.735596000000086
608,"P.E. SIERRA DE LA OLIVA",1,"ALBACETE Caudete",INE020254,"Albacete","ALBACETE","RIO VINALOPO","",46.86,RE-001440,Eólica,b.2.1,2003-09-01,,2025-05-22,-1.0076629999999496,38.74855000000014
622,"P.E. EL ROMERAL",1,"ALBACETE Chinchilla de Monte-Aragón",INE020292,"Albacete","ALBACETE","RIO JUCAR","",14.45,RE-003111,Eólica,b.2.1,2008-10-10,,2025-05-22,-1.5911109999999475,38.76222200000009
623,"P. E. SIERRA DE PINILLA (1ª FASE)",1,"ALBACETE Chinchilla de Monte-Aragón",INE020292,"Albacete","ALBACETE","RIO JUCAR","",22.95,RE-002058,Eólica,b.2.1,2002-12-02,,2025-05-22,-1.5916669999999586,38.76444400000009
624,"CHINCHILLA DE MONTEARAGON",1,"ALBACETE Chinchilla de Monte-Aragón",INE020292,"Albacete","ALBACETE","RIO JUCAR","",27.3,RE-113371,Eólica,b.2.1,2021-05-14,,2025-05-22,-1.6991579999999449,38.76867000000012
625,"FRONTONES",1,"ALBACETE Chinchilla de Monte-Aragón",INE020292,"Albacete","ALBACETE","RIO SEGURA","",50,RE-113708,Eólica,b.2.1,2022-06-01,,2025-05-22,-1.3780409999999235,38.80215600000001
626,"P. E. CERRO VICENTE",1,"ALBACETE Chinchilla de Monte-Aragón",INE020292,"Albacete","ALBACETE","RIO JUCAR","",39.1,RE-002050,Eólica,b.2.1,2002-12-02,,2025-05-22,-1.6764159999998969,38.80896900000004
627,"P. E. CERRO VICENTE AMPLIACION (1ª fase)",1,"ALBACETE Chinchilla de Monte-Aragón",INE020292,"Albacete","ALBACETE","RIO JUCAR","",29.75,RE-002051,Eólica,b.2.1,2003-01-07,,2025-05-22,-1.6924559999999507,38.8191830000001
628,"P.E. LA LOSILLA",1,"ALBACETE Chinchilla de Monte-Aragón",INE020292,"Albacete","ALBACETE","RIO JUCAR","",11.9,RE-002922,Eólica,b.2.1,2006-04-02,,2025-05-22,-1.7686109999999649,38.900833000000056
658,"P.E. LOS PEDREROS",2,"ALBACETE Fuente-Álamo",INE020334,"Albacete","ALBACETE","RIO SEGURA","",49.95,RE-003040 y 1 más,Eólica,b.2.1,2005-06-21,,2025-05-22,-1.3969439999999447,38.71638900000008
659,"FUENTE-ALAMO",1,"ALBACETE Fuente-Álamo",INE020334,"Albacete","ALBACETE","RIO SEGURA","",50,RE-113719,Eólica,b.2.1,2022-06-01,,2025-05-22,-1.4002139999999115,38.75101500000012
679,"TOMAS JAEN 1",12,"ALBACETE Gineta, La",INE020352,"Albacete","ALBACETE","RIO JUCAR","",0.072,RE-101334 y 11 más,Eólica,b.2.1,2008-06-02,,2025-05-22,-1.9877009999999178,39.14107600000009
706,"P. E. MOLAR DEL MOLINAR (Modif.  Pot. 27/2/2003)",1,"ALBACETE Hellín",INE020371,"Albacete","ALBACETE","RIO JUCAR","",49.5,RE-001443,Eólica,b.2.1,2001-01-25,,2025-05-22,-2.0611109999999244,38.703056000000124
763,"P. E. MALEFATON (Modif.  Pot. 27/2/2003)",1,"ALBACETE Higueruela",INE020390,"Albacete","ALBACETE","RIO SEGURA","",49.5,RE-001442,Eólica,b.2.1,2003-01-07,,2025-05-22,-1.4255559999999854,38.95722200000002
764,"P. E. VIRGEN DE LOS LLANOS II",1,"ALBACETE Higueruela",INE020390,"Albacete","ALBACETE","RIO JUCAR","",23.1,RE-001408,Eólica,b.2.1,2000-01-19,,2025-05-22,-1.463259999999888,38.97004900000005
765,"P. E. DE HIGUERUELA",1,"ALBACETE Higueruela",INE020390,"Albacete","ALBACETE","RIO JUCAR","",37.6,RE-001406,Eólica,b.2.1,2000-01-19,,2025-05-22,-1.4441899999998853,38.9756040000001
766,"P. E. VIRGEN DE LOS LLANOS I",1,"ALBACETE Higueruela",INE020390,"Albacete","ALBACETE","RIO JUCAR","",26.4,RE-001407,Eólica,b.2.1,2000-01-18,,2025-05-22,-1.409098999999923,38.98517800000009
767,"P. E. CERRO DE LA PUNTA",1,"ALBACETE Higueruela",INE020390,"Albacete","ALBACETE","RIO SEGURA","",24.42,RE-001409,Eólica,b.2.1,2000-01-19,,2025-05-22,-1.3831689999999295,38.99120100000008
