feature_type,source,name,operator,capacity_mw,latitude,longitude
generator,wind,,,3.6,40.9717227,15.4427579
generator,wind,,,3.6,40.976989,15.4443764
generator,wind,,,3.6,40.9750287,15.4481971
generator,wind,,,3.6,40.9733125,15.4522546
generator,wind,,,3.6,40.9753576,15.4578698
plant,wind,Parco Eolico di Monte del Galletto,Riva Power SpA,3.5,44.2248022,11.2566827
generator,solar,,,3.5,44.7162184,12.1044183
generator,wind,,,3.45,40.7969459,8.3438963
generator,wind,,,3.45,37.7066304,14.231044
generator,wind,,,3.45,37.7115943,14.22948
generator,wind,,,3.45,37.7121985,14.2331135
generator,wind,,,3.45,37.7132237,14.2363484
generator,wind,,,3.45,37.7133464,14.2401829
generator,wind,,,3.45,37.7146888,14.2430739
generator,wind,,,3.45,37.7143715,14.246181
generator,wind,,,3.45,37.7102323,14.2495828
generator,wind,,,3.45,40.8015793,8.3460617
generator,wind,,,3.45,40.7842304,16.0481951
generator,wind,,,3.45,40.7749388,16.0488742
generator,wind,,,3.45,40.7698101,16.0456522
generator,wind,,,3.45,40.7818939,16.0651757
generator,wind,,,3.45,40.7787528,16.0723022
generator,wind,,,3.45,40.7658946,16.0767433
generator,wind,Repower MM3.4,,3.4,41.5832,15.610946
generator,wind,Repower MM3.4,,3.4,41.583222,15.601625
generator,wind,Repower MM3.4,,3.4,41.583313,15.623328
generator,wind,Repower MM3.4,,3.4,41.585488,15.603938
generator,wind,Repower MM3.4,,3.4,41.586071,15.64441
generator,wind,Repower MM3.4,,3.4,41.586605,15.635801
generator,wind,Repower MM3.4,,3.4,41.586733,15.622185
generator,wind,Repower MM3.4,,3.4,41.588009,15.648425
generator,wind,Repower MM3.4,,3.4,41.588409,15.612087
generator,wind,Repower MM3.4,,3.4,41.589394,15.637916
generator,wind,Repower MM3.4,,3.4,41.589906,15.651131
generator,wind,Repower MM3.4,,3.4,41.591103,15.627002
generator,wind,Repower MM3.4,,3.4,41.591963,15.653597
generator,wind,Repower MM3.4,,3.4,41.592036,15.640654
generator,wind,Repower MM3.4,,3.4,41.592241,15.616323
generator,wind,Repower MM3.4,,3.4,41.593811,15.656641
generator,wind,Repower MM3.4,,3.4,41.594607,15.643175
generator,wind,Repower MM3.4,,3.4,41.595254,15.632046
generator,wind,Repower MM3.4,,3.4,41.599748,15.649958
generator,wind,Repower MM3.4,,3.4,41.6005,15.637941
generator,wind,Repower MM3.4,,3.4,41.602186,15.652058
generator,wind,Repower MM3.4,,3.4,41.602574,15.640794
generator,wind,,,3.4,41.3793744,15.8165433
generator,wind,,,3.4,41.3812992,15.8314959
generator,wind,,,3.4,41.3745171,15.8319385
generator,wind,,,3.3,41.8846123,14.4139397
generator,wind,,,3.3,41.8846884,14.4098045
generator,wind,,,3.3,41.8825193,14.4169299
generator,wind,,,3.3,41.8782243,14.4227922
generator,wind,,,3.3,41.8805232,14.4200562
generator,wind,,,3.3,41.8668632,14.4366837
generator,wind,,,3.3,41.8695435,14.4348326
generator,wind,,,3.3,41.8724922,14.4332434
generator,wind,,,3.3,41.8740325,14.4297239
generator,wind,,,3.3,41.8763937,14.4270696
generator,wind,,,3.3,41.8863532,14.4013646
generator,wind,,,3.3,41.8853482,14.4052067
generator,wind,,,3.3,41.0418165,15.6484161
generator,wind,,,3.3,41.0413529,15.655807
generator,wind,,,3.3,41.0372639,15.6532515
generator,wind,,,3.3,41.0383169,15.6473001
generator,wind,,,3.3,41.0348217,15.6483047
generator,wind,,,3.3,41.0336462,15.6532967
generator,wind,,,3.3,41.8556953,14.4739268
generator,wind,,,3.3,41.8528797,14.4755054
generator,wind,,,3.3,41.8499506,14.4765144
generator,wind,,Edison,3.3,41.8484114,14.4800391
generator,wind,,Edison,3.3,41.8453688,14.4796112
generator,wind,,Edison,3.3,41.8423386,14.4808875
generator,wind,,Edison,3.3,41.8393605,14.4817405
